"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"France (FR)","10.01.2020 18:00 - 10.01.2020 19:00 (CET/CEST)","6307"
"France (FR)","10.01.2020 19:00 - 10.01.2020 20:00 (CET/CEST)","6363"
"France (FR)","10.01.2020 20:00 - 10.01.2020 21:00 (CET/CEST)","6106"
"France (FR)","10.01.2020 21:00 - 10.01.2020 22:00 (CET/CEST)","5719"
"France (FR)","10.01.2020 22:00 - 10.01.2020 23:00 (CET/CEST)","5320"
"France (FR)","10.01.2020 23:00 - 11.01.2020 00:00 (CET/CEST)","5045"
"France (FR)","11.01.2020 00:00 - 11.01.2020 01:00 (CET/CEST)","4487"
"France (FR)","11.01.2020 01:00 - 11.01.2020 02:00 (CET/CEST)","4079"
"France (FR)","11.01.2020 02:00 - 11.01.2020 03:00 (CET/CEST)","3778"
"France (FR)","11.01.2020 03:00 - 11.01.2020 04:00 (CET/CEST)","3551"
"France (FR)","11.01.2020 04:00 - 11.01.2020 05:00 (CET/CEST)","3403"
"France (FR)","11.01.2020 05:00 - 11.01.2020 06:00 (CET/CEST)","3402"
"France (FR)","11.01.2020 06:00 - 11.01.2020 07:00 (CET/CEST)","3563"
"France (FR)","11.01.2020 07:00 - 11.01.2020 08:00 (CET/CEST)","3952"
"France (FR)","11.01.2020 08:00 - 11.01.2020 09:00 (CET/CEST)","4243"
"France (FR)","11.01.2020 09:00 - 11.01.2020 10:00 (CET/CEST)","4486"
"France (FR)","11.01.2020 10:00 - 11.01.2020 11:00 (CET/CEST)","4503"
"France (FR)","11.01.2020 11:00 - 11.01.2020 12:00 (CET/CEST)","4558"
"France (FR)","11.01.2020 12:00 - 11.01.2020 13:00 (CET/CEST)","4463"
"France (FR)","11.01.2020 13:00 - 11.01.2020 14:00 (CET/CEST)","4219"
"France (FR)","11.01.2020 14:00 - 11.01.2020 15:00 (CET/CEST)","3956"
"France (FR)","11.01.2020 15:00 - 11.01.2020 16:00 (CET/CEST)","3938"
"France (FR)","11.01.2020 16:00 - 11.01.2020 17:00 (CET/CEST)","3818"
"France (FR)","11.01.2020 17:00 - 11.01.2020 18:00 (CET/CEST)","4131"
"France (FR)","11.01.2020 18:00 - 11.01.2020 19:00 (CET/CEST)","4793"
"France (FR)","11.01.2020 19:00 - 11.01.2020 20:00 (CET/CEST)","4954"
"France (FR)","11.01.2020 20:00 - 11.01.2020 21:00 (CET/CEST)","4618"
"France (FR)","11.01.2020 21:00 - 11.01.2020 22:00 (CET/CEST)","4197"
"France (FR)","11.01.2020 22:00 - 11.01.2020 23:00 (CET/CEST)","4065"
"France (FR)","11.01.2020 23:00 - 12.01.2020 00:00 (CET/CEST)","3963"
"France (FR)","12.01.2020 00:00 - 12.01.2020 01:00 (CET/CEST)","3613"
"France (FR)","12.01.2020 01:00 - 12.01.2020 02:00 (CET/CEST)","3337"
"France (FR)","12.01.2020 02:00 - 12.01.2020 03:00 (CET/CEST)","3162"
"France (FR)","12.01.2020 03:00 - 12.01.2020 04:00 (CET/CEST)","2961"
"France (FR)","12.01.2020 04:00 - 12.01.2020 05:00 (CET/CEST)","2717"
"France (FR)","12.01.2020 05:00 - 12.01.2020 06:00 (CET/CEST)","2639"
"France (FR)","12.01.2020 06:00 - 12.01.2020 07:00 (CET/CEST)","2729"
"France (FR)","12.01.2020 07:00 - 12.01.2020 08:00 (CET/CEST)","2899"
"France (FR)","12.01.2020 08:00 - 12.01.2020 09:00 (CET/CEST)","3168"
"France (FR)","12.01.2020 09:00 - 12.01.2020 10:00 (CET/CEST)","3374"
"France (FR)","12.01.2020 10:00 - 12.01.2020 11:00 (CET/CEST)","3535"
"France (FR)","12.01.2020 11:00 - 12.01.2020 12:00 (CET/CEST)","3695"
"France (FR)","12.01.2020 12:00 - 12.01.2020 13:00 (CET/CEST)","3663"
"France (FR)","12.01.2020 13:00 - 12.01.2020 14:00 (CET/CEST)","3507"
"France (FR)","12.01.2020 14:00 - 12.01.2020 15:00 (CET/CEST)","3279"
"France (FR)","12.01.2020 15:00 - 12.01.2020 16:00 (CET/CEST)","3154"
"France (FR)","12.01.2020 16:00 - 12.01.2020 17:00 (CET/CEST)","3244"
"France (FR)","12.01.2020 17:00 - 12.01.2020 18:00 (CET/CEST)","3519"
"France (FR)","12.01.2020 18:00 - 12.01.2020 19:00 (CET/CEST)","4107"
"France (FR)","12.01.2020 19:00 - 12.01.2020 20:00 (CET/CEST)","4664"
"France (FR)","12.01.2020 20:00 - 12.01.2020 21:00 (CET/CEST)","4445"
"France (FR)","12.01.2020 21:00 - 12.01.2020 22:00 (CET/CEST)","4088"
"France (FR)","12.01.2020 22:00 - 12.01.2020 23:00 (CET/CEST)","3865"
"France (FR)","12.01.2020 23:00 - 13.01.2020 00:00 (CET/CEST)","3728"
"France (FR)","13.01.2020 00:00 - 13.01.2020 01:00 (CET/CEST)","3317"
"France (FR)","13.01.2020 01:00 - 13.01.2020 02:00 (CET/CEST)","3114"
"France (FR)","13.01.2020 02:00 - 13.01.2020 03:00 (CET/CEST)","3042"
"France (FR)","13.01.2020 03:00 - 13.01.2020 04:00 (CET/CEST)","2958"
"France (FR)","13.01.2020 04:00 - 13.01.2020 05:00 (CET/CEST)","2934"
"France (FR)","13.01.2020 05:00 - 13.01.2020 06:00 (CET/CEST)","2943"
"France (FR)","13.01.2020 06:00 - 13.01.2020 07:00 (CET/CEST)","3662"
"France (FR)","13.01.2020 07:00 - 13.01.2020 08:00 (CET/CEST)","4739"
"France (FR)","13.01.2020 08:00 - 13.01.2020 09:00 (CET/CEST)","5370"
"France (FR)","13.01.2020 09:00 - 13.01.2020 10:00 (CET/CEST)","5908"
"France (FR)","13.01.2020 10:00 - 13.01.2020 11:00 (CET/CEST)","5859"
"France (FR)","13.01.2020 11:00 - 13.01.2020 12:00 (CET/CEST)","5826"
"France (FR)","13.01.2020 12:00 - 13.01.2020 13:00 (CET/CEST)","5592"
"France (FR)","13.01.2020 13:00 - 13.01.2020 14:00 (CET/CEST)","5758"
"France (FR)","13.01.2020 14:00 - 13.01.2020 15:00 (CET/CEST)","5426"
"France (FR)","13.01.2020 15:00 - 13.01.2020 16:00 (CET/CEST)","5389"
"France (FR)","13.01.2020 16:00 - 13.01.2020 17:00 (CET/CEST)","5434"
"France (FR)","13.01.2020 17:00 - 13.01.2020 18:00 (CET/CEST)","5818"
"France (FR)","13.01.2020 18:00 - 13.01.2020 19:00 (CET/CEST)","6070"
"France (FR)","13.01.2020 19:00 - 13.01.2020 20:00 (CET/CEST)","5885"
"France (FR)","13.01.2020 20:00 - 13.01.2020 21:00 (CET/CEST)","5122"
"France (FR)","13.01.2020 21:00 - 13.01.2020 22:00 (CET/CEST)","4757"
"France (FR)","13.01.2020 22:00 - 13.01.2020 23:00 (CET/CEST)","4435"
"France (FR)","13.01.2020 23:00 - 14.01.2020 00:00 (CET/CEST)","4322"
"France (FR)","14.01.2020 00:00 - 14.01.2020 01:00 (CET/CEST)","3942"
